コード	都道府県	市区町村	緯度	経度
011011	北海道	札幌市	中央区	43.055460	141.340956
011029	北海道	札幌市	北区	43.090850	141.340831
011037	北海道	札幌市	東区	43.076069	141.363722
011045	北海道	札幌市	白石区	43.047687	141.405078
011053	北海道	札幌市	豊平区	43.031291	141.380106
011061	北海道	札幌市	南区	42.990031	141.353497
011070	北海道	札幌市	西区	43.074470	141.300889
011088	北海道	札幌市	厚別区	43.036408	141.474789
011096	北海道	札幌市	手稲区	43.121944	141.245632
011100	北海道	札幌市	清田区	42.999636	141.443830
012025	北海道	函館市		41.768793	140.728810
012033	北海道	小樽市		43.190717	140.994662
012041	北海道	旭川市		43.770636	142.364819
012050	北海道	室蘭市		42.315231	140.973799
012068	北海道	釧路市		42.984854	144.381356
012076	北海道	帯広市		42.923899	143.196103
012084	北海道	北見市		43.804031	143.895876
012092	北海道	夕張市		43.056734	141.973896
012106	北海道	岩見沢市		43.196206	141.775933
012114	北海道	網走市		44.020632	144.273398
012122	北海道	留萌市		43.940987	141.637012
012131	北海道	苫小牧市		42.634302	141.605372
012149	北海道	稚内市		45.415664	141.673082
012157	北海道	美唄市		43.332881	141.853785
012165	北海道	芦別市		43.518166	142.189436
012173	北海道	江別市		43.103745	141.536247
012181	北海道	赤平市		43.558074	142.044211
012190	北海道	紋別市		44.356484	143.354503
012203	北海道	士別市		44.178734	142.400404
012211	北海道	名寄市		44.355938	142.463167
012220	北海道	三笠市		43.245435	141.875327
012238	北海道	根室市		43.330076	145.582790
012246	北海道	千歳市		42.820958	141.650876
012254	北海道	滝川市		43.557795	141.910190
012262	北海道	砂川市		43.494843	141.903465
012271	北海道	歌志内市		43.521353	142.034568
012289	北海道	深川市		43.723260	142.053538
012297	北海道	富良野市		43.342140	142.383225
012301	北海道	登別市		42.412760	141.106632
012319	北海道	恵庭市		42.882562	141.577815
012335	北海道	伊達市		42.471851	140.864679
012343	北海道	北広島市		42.985630	141.563543
012351	北海道	石狩市		43.171384	141.315520
012360	北海道	北斗市		41.824060	140.652903
013030	北海道	石狩郡	当別町	43.223683	141.517072
013048	北海道	石狩郡	新篠津村	43.225424	141.649216
013315	北海道	松前郡	松前町	41.430037	140.110435
013323	北海道	松前郡	福島町	41.483802	140.251326
013331	北海道	上磯郡	知内町	41.598356	140.418963
013340	北海道	上磯郡	木古内町	41.678264	140.437568
013374	北海道	亀田郡	七飯町	41.895720	140.694280
013439	北海道	茅部郡	鹿部町	42.038487	140.815939
013455	北海道	茅部郡	森町	42.104795	140.576324
013463	北海道	二海郡	八雲町	42.255999	140.265281
013471	北海道	山越郡	長万部町	42.513688	140.380633
013617	北海道	檜山郡	江差町	41.869156	140.127460
013625	北海道	檜山郡	上ノ国町	41.801082	140.121348
013633	北海道	檜山郡	厚沢部町	41.920901	140.225472
013641	北海道	爾志郡	乙部町	41.968501	140.135719
013676	北海道	奥尻郡	奥尻町	42.172278	139.514008
013706	北海道	瀬棚郡	今金町	42.429422	140.008878
013714	北海道	久遠郡	せたな町	42.417161	139.882988
013919	北海道	島牧郡	島牧村	42.700520	140.061460
013927	北海道	寿都郡	寿都町	42.790979	140.228980
013935	北海道	寿都郡	黒松内町	42.667864	140.307540
013943	北海道	磯谷郡	蘭越町	42.809075	140.528312
013951	北海道	虻田郡	ニセコ町	42.804705	140.687493
013960	北海道	虻田郡	真狩村	42.762971	140.803744
013978	北海道	虻田郡	留寿都村	42.737360	140.875591
013986	北海道	虻田郡	喜茂別町	42.795472	140.934500
013994	北海道	虻田郡	京極町	42.858208	140.884088
014001	北海道	虻田郡	倶知安町	42.901829	140.758698
015717	北海道	虻田郡	豊浦町	42.583447	140.711832
015849	北海道	虻田郡	洞爺湖町	42.551269	140.764098
014010	北海道	岩内郡	共和町	42.980398	140.611187
014028	北海道	岩内郡	岩内町	42.979785	140.514753
014036	北海道	古宇郡	泊村	43.063355	140.498859
014044	北海道	古宇郡	神恵内村	43.143813	140.430742
014052	北海道	積丹郡	積丹町	43.298853	140.598193
014061	北海道	古平郡	古平町	43.265360	140.638820
014079	北海道	余市郡	仁木町	43.151691	140.766130
014087	北海道	余市郡	余市町	43.195232	140.783467
014095	北海道	余市郡	赤井川村	43.083490	140.813481
014231	北海道	空知郡	南幌町	43.063727	141.650069
014249	北海道	空知郡	奈井江町	43.425106	141.882788
014257	北海道	空知郡	上砂川町	43.482608	141.984084
014605	北海道	空知郡	上富良野町	43.455661	142.467073
014613	北海道	空知郡	中富良野町	43.405671	142.425136
014621	北海道	空知郡	南富良野町	43.163979	142.568488
014273	北海道	夕張郡	由仁町	42.999605	141.790338
014281	北海道	夕張郡	長沼町	43.010353	141.695252
014290	北海道	夕張郡	栗山町	43.056309	141.784255
014303	北海道	樺戸郡	月形町	43.338436	141.669451
014311	北海道	樺戸郡	浦臼町	43.430322	141.818837
014320	北海道	樺戸郡	新十津川町	43.548547	141.877032
014338	北海道	雨竜郡	妹背牛町	43.700112	141.961711
014346	北海道	雨竜郡	秩父別町	43.767013	141.957958
014362	北海道	雨竜郡	雨竜町	43.643924	141.888990
014371	北海道	雨竜郡	北竜町	43.731356	141.879022
014389	北海道	雨竜郡	沼田町	43.806802	141.933272
014729	北海道	雨竜郡	幌加内町	44.009854	142.153933
014524	北海道	上川郡	鷹栖町	43.843353	142.354451
014532	北海道	上川郡	東神楽町	43.696626	142.451437
014541	北海道	上川郡	当麻町	43.828177	142.508366
014559	北海道	上川郡	比布町	43.875076	142.477552
014567	北海道	上川郡	愛別町	43.906504	142.577973
014575	北海道	上川郡	上川町	43.847180	142.770431
014583	北海道	上川郡	東川町	43.698974	142.510317
014591	北海道	上川郡	美瑛町	43.588187	142.466972
014648	北海道	上川郡	和寒町	44.023068	142.413306
014656	北海道	上川郡	剣淵町	44.095677	142.361221
014681	北海道	上川郡	下川町	44.302503	142.635308
016357	北海道	上川郡	新得町	43.079796	142.838737
016365	北海道	上川郡	清水町	43.011356	142.884540
014630	北海道	勇払郡	占冠村	42.979779	142.398357
015814	北海道	勇払郡	厚真町	42.723662	141.877935
015857	北海道	勇払郡	安平町	42.762815	141.818017
015865	北海道	勇払郡	むかわ町	42.574807	141.926750
014699	北海道	中川郡	美深町	44.481126	142.343014
014702	北海道	中川郡	音威子府村	44.725004	142.262464
014711	北海道	中川郡	中川町	44.811346	142.071438
016438	北海道	中川郡	幕別町	42.908234	143.355969
016446	北海道	中川郡	池田町	42.928955	143.448355
016454	北海道	中川郡	豊頃町	42.801052	143.505919
016462	北海道	中川郡	本別町	43.124712	143.610573
014818	北海道	増毛郡	増毛町	43.856033	141.525198
014826	北海道	留萌郡	小平町	44.015108	141.662575
014834	北海道	苫前郡	苫前町	44.306040	141.653022
014842	北海道	苫前郡	羽幌町	44.360683	141.697250
014851	北海道	苫前郡	初山別村	44.532154	141.766409
014869	北海道	天塩郡	遠別町	44.722139	141.792369
014877	北海道	天塩郡	天塩町	44.888341	141.745397
015164	北海道	天塩郡	豊富町	45.102933	141.777505
015202	北海道	天塩郡	幌延町	45.017711	141.849384
015113	北海道	宗谷郡	猿払村	45.330616	142.109192
015121	北海道	枝幸郡	浜頓別町	45.123694	142.359948
015130	北海道	枝幸郡	中頓別町	44.969819	142.286735
015148	北海道	枝幸郡	枝幸町	44.938714	142.581411
015172	北海道	礼文郡	礼文町	45.303020	141.047689
015181	北海道	利尻郡	利尻町	45.187068	141.139627
015199	北海道	利尻郡	利尻富士町	45.247735	141.214344
015431	北海道	網走郡	美幌町	43.823782	144.107042
015440	北海道	網走郡	津別町	43.706453	144.025032
015644	北海道	網走郡	大空町	43.911850	144.172709
015458	北海道	斜里郡	斜里町	43.911513	144.670605
015466	北海道	斜里郡	清里町	43.835216	144.594562
015474	北海道	斜里郡	小清水町	43.856852	144.462025
015491	北海道	常呂郡	訓子府町	43.725255	143.741730
015504	北海道	常呂郡	置戸町	43.676323	143.586397
015521	北海道	常呂郡	佐呂間町	44.017756	143.774506
015555	北海道	紋別郡	遠軽町	44.061953	143.527947
015598	北海道	紋別郡	湧別町	44.151598	143.572894
015601	北海道	紋別郡	滝上町	44.192203	143.077588
015610	北海道	紋別郡	興部町	44.469878	143.123891
015628	北海道	紋別郡	西興部村	44.328853	142.944392
015636	北海道	紋別郡	雄武町	44.582551	142.961810
015750	北海道	有珠郡	壮瞥町	42.552283	140.886014
015784	北海道	白老郡	白老町	42.551260	141.355955
016012	北海道	沙流郡	日高町	42.480290	142.074398
016021	北海道	沙流郡	平取町	42.585081	142.128523
016047	北海道	新冠郡	新冠町	42.362406	142.318332
016071	北海道	浦河郡	浦河町	42.168516	142.768120
016080	北海道	様似郡	様似町	42.127853	142.933550
016098	北海道	幌泉郡	えりも町	42.016280	143.148443
016101	北海道	日高郡	新ひだか町	42.341281	142.368591
016314	北海道	河東郡	音更町	42.994143	143.197960
016322	北海道	河東郡	士幌町	43.168027	143.241377
016331	北海道	河東郡	上士幌町	43.232548	143.296189
016349	北海道	河東郡	鹿追町	43.099102	142.989043
016373	北海道	河西郡	芽室町	42.911860	143.050863
016381	北海道	河西郡	中札内村	42.697614	143.132443
016390	北海道	河西郡	更別村	42.650351	143.187858
016411	北海道	広尾郡	大樹町	42.497540	143.278814
016420	北海道	広尾郡	広尾町	42.285838	143.311496
016471	北海道	足寄郡	足寄町	43.244801	143.553905
016489	北海道	足寄郡	陸別町	43.468981	143.747243
016497	北海道	十勝郡	浦幌町	42.808927	143.658396
016616	北海道	釧路郡	釧路町	42.996045	144.466032
016624	北海道	厚岸郡	厚岸町	43.051871	144.847360
016632	北海道	厚岸郡	浜中町	43.077145	145.129369
016641	北海道	川上郡	標茶町	43.303440	144.600779
016659	北海道	川上郡	弟子屈町	43.485348	144.459221
016675	北海道	阿寒郡	鶴居村	43.229887	144.321216
016683	北海道	白糠郡	白糠町	42.956177	144.071805
016918	北海道	野付郡	別海町	43.393787	145.117271
016926	北海道	標津郡	中標津町	43.555242	144.971391
016934	北海道	標津郡	標津町	43.661387	145.131319
016942	北海道	目梨郡	羅臼町	44.021876	145.189620
022012	青森県	青森市		40.822072	140.747365
022021	青森県	弘前市		40.603124	140.463922
022039	青森県	八戸市		40.512284	141.488399
022047	青森県	黒石市		40.642632	140.594645
022055	青森県	五所川原市		40.808002	140.440090
022063	青森県	十和田市		40.612703	141.205908
022071	青森県	三沢市		40.683134	141.368976
022080	青森県	むつ市		41.292746	141.183476
022098	青森県	つがる市		40.808639	140.380059
022101	青森県	平川市		40.584011	140.566478
023019	青森県	東津軽郡	平内町	40.926031	140.955920
023035	青森県	東津軽郡	今別町	41.181757	140.481654
023043	青森県	東津軽郡	蓬田村	40.971714	140.655966
023078	青森県	東津軽郡	外ヶ浜町	41.043159	140.632296
023213	青森県	西津軽郡	鰺ヶ沢町	40.779913	140.208695
023230	青森県	西津軽郡	深浦町	40.647895	139.927375
023434	青森県	中津軽郡	西目屋村	40.576709	140.296288
023612	青森県	南津軽郡	藤崎町	40.656069	140.502811
023621	青森県	南津軽郡	大鰐町	40.518188	140.567828
023671	青森県	南津軽郡	田舎館村	40.631252	140.550116
023817	青森県	北津軽郡	板柳町	40.695894	140.457324
023841	青森県	北津軽郡	鶴田町	40.758605	140.428382
023876	青森県	北津軽郡	中泊町	40.965179	140.439840
024015	青森県	上北郡	野辺地町	40.864469	141.128757
024023	青森県	上北郡	七戸町	40.697416	141.151021
024058	青森県	上北郡	六戸町	40.609521	141.324949
024066	青森県	上北郡	横浜町	41.083147	141.247793
024082	青森県	上北郡	東北町	40.727876	141.257882
024112	青森県	上北郡	六ヶ所村	40.967344	141.374552
024121	青森県	上北郡	おいらせ町	40.599107	141.397797
024236	青森県	下北郡	大間町	41.526771	140.907438
024244	青森県	下北郡	東通村	41.277787	141.328936
024252	青森県	下北郡	風間浦村	41.487574	140.995729
024261	青森県	下北郡	佐井村	41.429706	140.859129
024414	青森県	三戸郡	三戸町	40.378407	141.258745
024422	青森県	三戸郡	五戸町	40.531225	141.307790
024431	青森県	三戸郡	田子町	40.339962	141.152050
024457	青森県	三戸郡	南部町	40.466593	141.381986
024465	青森県	三戸郡	階上町	40.452489	141.620851
024503	青森県	三戸郡	新郷村	40.465626	141.173464
032018	岩手県	盛岡市		39.702053	141.154484
032026	岩手県	宮古市		39.641420	141.957140
032034	岩手県	大船渡市		39.081901	141.708530
032051	岩手県	花巻市		39.388578	141.116645
032069	岩手県	北上市		39.286765	141.113191
032077	岩手県	久慈市		40.190524	141.775583
032085	岩手県	遠野市		39.327838	141.533303
032093	岩手県	一関市		38.934682	141.126800
032107	岩手県	陸前高田市		39.027661	141.625495
032115	岩手県	釜石市		39.275818	141.885677
032131	岩手県	二戸市		40.271213	141.304817
032140	岩手県	八幡平市		39.956477	141.071292
032158	岩手県	奥州市		39.144529	141.139141
032166	岩手県	滝沢市		39.734684	141.077095
033014	岩手県	岩手郡	雫石町	39.696288	140.975776
033022	岩手県	岩手郡	葛巻町	40.039896	141.436465
033031	岩手県	岩手郡	岩手町	39.972590	141.212516
033219	岩手県	紫波郡	紫波町	39.554568	141.155659
033227	岩手県	紫波郡	矢巾町	39.605981	141.142889
033669	岩手県	和賀郡	西和賀町	39.434621	140.750124
033812	岩手県	胆沢郡	金ケ崎町	39.195742	141.116324
034029	岩手県	西磐井郡	平泉町	38.986662	141.113822
034410	岩手県	気仙郡	住田町	39.142230	141.575047
034614	岩手県	上閉伊郡	大槌町	39.358231	141.899422
034827	岩手県	下閉伊郡	山田町	39.467662	141.948950
034835	岩手県	下閉伊郡	岩泉町	39.843042	141.796303
034843	岩手県	下閉伊郡	田野畑村	39.930450	141.888868
034851	岩手県	下閉伊郡	普代村	40.005167	141.885908
035017	岩手県	九戸郡	軽米町	40.326746	141.460633
035033	岩手県	九戸郡	野田村	40.110266	141.817668
035068	岩手県	九戸郡	九戸村	40.211392	141.418985
035076	岩手県	九戸郡	洋野町	40.284263	141.624833
035246	岩手県	二戸郡	一戸町	40.213011	141.295475
041017	宮城県	仙台市	青葉区	38.269076	140.870403
041025	宮城県	仙台市	宮城野区	38.266139	140.909832
041033	宮城県	仙台市	若林区	38.244224	140.900756
041041	宮城県	仙台市	太白区	38.224348	140.877134
041050	宮城県	仙台市	泉区	38.326375	140.881629
042021	宮城県	石巻市		38.434480	141.302917
042030	宮城県	塩竈市		38.314362	141.022027
042056	宮城県	気仙沼市		38.908078	141.569992
042064	宮城県	白石市		38.002478	140.619860
042072	宮城県	名取市		38.171520	140.891913
042081	宮城県	角田市		37.977063	140.781990
042099	宮城県	多賀城市		38.293839	141.004225
042111	宮城県	岩沼市		38.104292	140.870138
042129	宮城県	登米市		38.691923	141.187579
042137	宮城県	栗原市		38.730128	141.021333
042145	宮城県	東松島市		38.426168	141.210242
042153	宮城県	大崎市		38.577071	140.955350
043010	宮城県	刈田郡	蔵王町	38.098164	140.658416
043028	宮城県	刈田郡	七ヶ宿町	37.993063	140.441612
043214	宮城県	柴田郡	大河原町	38.049493	140.730721
043222	宮城県	柴田郡	村田町	38.118539	140.722404
043231	宮城県	柴田郡	柴田町	38.056563	140.765790
043249	宮城県	柴田郡	川崎町	38.177737	140.643202
043419	宮城県	伊具郡	丸森町	37.911429	140.765528
043613	宮城県	亘理郡	亘理町	38.037460	140.852581
043621	宮城県	亘理郡	山元町	37.961668	140.877818
044016	宮城県	宮城郡	松島町	38.380128	141.067244
044041	宮城県	宮城郡	七ヶ浜町	38.304613	141.059186
044067	宮城県	宮城郡	利府町	38.330190	140.975722
044211	宮城県	黒川郡	大和町	38.437329	140.886306
044229	宮城県	黒川郡	大郷町	38.424260	141.004445
044237	宮城県	黒川郡	富谷町	38.399815	140.895408
044245	宮城県	黒川郡	大衡村	38.467226	140.880087
044440	宮城県	加美郡	色麻町	38.548920	140.849878
044458	宮城県	加美郡	加美町	38.571767	140.854751
045012	宮城県	遠田郡	涌谷町	38.539646	141.128075
045055	宮城県	遠田郡	美里町	38.544391	141.056695
045811	宮城県	牡鹿郡	女川町	38.449733	141.443088
046060	宮城県	本吉郡	南三陸町	38.679771	141.460514
052019	秋田県	秋田市		39.720008	140.102564
052027	秋田県	能代市		40.212151	140.026624
052035	秋田県	横手市		39.313782	140.566649
052043	秋田県	大館市		40.271405	140.564285
052060	秋田県	男鹿市		39.886818	139.847558
052078	秋田県	湯沢市		39.164304	140.495663
052094	秋田県	鹿角市		40.215778	140.788436
052108	秋田県	由利本荘市		39.385877	140.048791
052116	秋田県	潟上市		39.857288	140.013054
052124	秋田県	大仙市		39.453088	140.475448
052132	秋田県	北秋田市		40.226054	140.370742
052141	秋田県	にかほ市		39.203012	139.907713
052159	秋田県	仙北市		39.700069	140.730588
053031	秋田県	鹿角郡	小坂町	40.333092	140.736081
053279	秋田県	北秋田郡	上小阿仁村	40.063266	140.295767
053465	秋田県	山本郡	藤里町	40.278360	140.261704
053481	秋田県	山本郡	三種町	40.101626	140.004748
053490	秋田県	山本郡	八峰町	40.318724	140.038648
053619	秋田県	南秋田郡	五城目町	39.943892	140.111306
053635	秋田県	南秋田郡	八郎潟町	39.949382	140.073318
053660	秋田県	南秋田郡	井川町	39.914169	140.081294
053686	秋田県	南秋田郡	大潟村	40.017792	139.960067
054348	秋田県	仙北郡	美郷町	39.461905	140.581299
054631	秋田県	雄勝郡	羽後町	39.199323	140.412923
054640	秋田県	雄勝郡	東成瀬村	39.179183	140.648890
062014	山形県	山形市		38.255439	140.339602
062022	山形県	米沢市		37.922240	140.116781
062031	山形県	鶴岡市		38.727197	139.826731
062049	山形県	酒田市		38.914433	139.836515
062057	山形県	新庄市		38.765015	140.301608
062065	山形県	寒河江市		38.380964	140.275967
